ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412464, 0.846332037736, 0.241130926029, Lankford, Republican, lonley conservative Republican follower, 11, 52, 35, 60
412305, 0.336484704637, 0.254765907626, Peters, Democrat, moderate Democratic follower, 12, 92, 44, 58
400061, 0.730101694766, 0.307671140205, Capito, Republican, rank-and-file Republican, 7, 83, 27, 33
412666, 0.838358026639, 0.174213621189, Perdue, Republican, moderate Republican follower, 7, 73, 30, 43
412668, 0.750981869942, 0.0553775417651, Tillis, Republican, moderate Republican follower, 2, 79, 11, 11
412549, 0.809212111799, 0.340705879212, Daines, Republican, rank-and-file Republican, 27, 79, 58, 105
412669, 0.80505078462, 0.161049481094, Rounds, Republican, moderate Republican follower, 9, 68, 30, 35
412671, 0.732665646476, 0.243468836339, Sasse, Republican, rank-and-file Republican, 3, 27, 42, 59
412508, 0.840456524841, 0.198442217235, Cotton, Republican, moderate Republican follower, 7, 73, 11, 16
412667, 0.744359707531, 0.373735629082, Ernst, Republican, rank-and-file Republican, 7, 50, 43, 76
412406, 0.744103259837, 0.267850801998, Gardner, Republican, rank-and-file Republican, 15, 67, 19, 28
412665, 0.713007783063, 0.241751643899, Sullivan, Republican, rank-and-file Republican, 13, 49, 44, 61
412681, 0.384152496002, 0.074534875226, Cortez Masto, Democrat, centrist Democratic follower, 1, 35, 25, 25
400415, 0.271153064058, 0.00227812965037, Van Hollen, Democrat, moderate Democratic follower, 3, 87, 1, 2
412533, 0.366685521079, 0.00449965015251, Duckworth, Democrat, centrist Democratic follower, 2, 49, 3, 3
412678, 0.368883782968, 0.0293771057825, Harris, Democrat, centrist Democratic follower, 3, 45, 10, 11
412679, 0.598068037428, 0.00140604095651, Kennedy, Republican, centrist Republican follower , 1, 35, 1, 1
412428, 0.568543355993, 0.0303870235608, Young, Republican, centrist Republican follower , 6, 47, 10, 13
412680, 0.349410378301, 0.0238866534394, Hassan, Democrat, moderate Democratic follower, 2, 78, 9, 9
412734, 0.516394113142, 0.0, Strange, Republican, centrist Republican follower , 0, 15, 0, 0
