"muck_org","V1","d0","d1","d2","d3","d4","source","Source","avg_align","followers_count","friends_count","lang","media_handle","media_name","muck_role","muckrack_slug","protected","status_coordinates","status_lang","statuses_count","utc_offset","verified","mean_ideology_following","n_pol_follows","total_articles","dem","rep","lo"
"",10260,-0.00470267485994,0.00687390889623,0.0104218139107,-0.00295386651256,0.00711959263684,560370895,"",NA,126,541,"en","","","","",FALSE,"","en",393,"-14400",FALSE,0.0990868190654,3,NA,NA,NA,NA
"",10261,-0.00451785430228,-0.00687033504854,-0.000873946623201,0.00386921109712,0.00399174581112,560397676,"",NA,358,253,"en","","","","",FALSE,"","en",6480,"None",FALSE,-1.67686774041,4,NA,NA,NA,NA
"",10262,-0.00975922538024,-0.00161439961897,-0.00128708120545,0.00267163546872,0.00478957321809,560447924,"",NA,354,847,"en","","","","",FALSE,"","en",45,"None",FALSE,-0.844326939461,4,NA,NA,NA,NA
"",10264,-0.0111377955583,0.00575149137523,0.00714565332909,-0.0136434670416,0.00972936893072,56074338,"",NA,133,293,"en","","","","",FALSE,"","en",145,"-10800",FALSE,0.646631124215,4,NA,NA,NA,NA
"",10265,-0.0111514971789,-0.00288223118467,-0.00167974754652,-0.0188524083809,0.00955388196029,560779419,"",NA,84,406,"en","","","","",FALSE,"","en",123,"None",FALSE,0.891097324062,8,NA,NA,NA,NA
"",10267,-0.00363565444878,-0.0085047503374,0.00246422444833,0.00345143756501,0.00366182930245,560880945,"",NA,287,289,"en","","","","",FALSE,"","en",5232,"-18000",FALSE,-1.63010335445,3,NA,NA,NA,NA
"",10268,-0.00347133895407,-0.00568940180703,0.00409228170398,0.00496815194638,0.00683067917596,56096707,"",NA,291,515,"en","","","","",FALSE,"","und",1910,"-14400",FALSE,-1.03056880215,7,NA,NA,NA,NA
"",10269,-0.00208886311009,-0.000329265397038,0.0012306281889,-0.00960867128357,0.00478457555521,561328249,"",NA,113,346,"en","","","","",FALSE,"","en",1752,"-10800",FALSE,1.03878036478,4,NA,NA,NA,NA
"",10270,0.00974341545985,0.00150289610486,0.0112607882684,0.00618786161989,0.010142870125,56139282,"",NA,220,547,"en","","","","",FALSE,"","en",5082,"None",FALSE,-0.721938305198,13,NA,NA,NA,NA
"",10271,-0.00867715281018,-0.00553209198692,-0.00119795798937,-0.0173043558685,0.00890344736697,561431991,"",NA,166,485,"en","","","","",FALSE,"","en",3567,"-14400",FALSE,0.989325903434,3,NA,NA,NA,NA
"",10274,0.00297472113075,0.000666363292514,0.0111810933214,0.00394331487182,0.00674348521589,561535910,"",NA,48,285,"en","","","","",FALSE,"","en",230,"None",FALSE,-1.85370474836,3,NA,NA,NA,NA
"",10275,-0.00198685371317,-0.00513570229563,-0.00536350733012,0.0065799751231,0.0082894152082,561648697,"",NA,60,350,"en","","","","",FALSE,"","en",204,"-10800",FALSE,-1.74601524705,4,NA,NA,NA,NA
"",10276,-0.0100990905287,0.00226951650597,0.00485485554189,-0.000121514127202,0.010656780201,56191979,"",NA,347,1416,"en","","","","",FALSE,"","es",10334,"-25200",FALSE,-0.628574793478,13,NA,NA,NA,NA
"",10277,0.00833381216172,-0.0138946386638,-0.00259025690896,0.0037711865717,0.00832101066705,562060738,"",NA,867,1066,"en","","","","",FALSE,"","en",27023,"-18000",FALSE,0.0974849965789,5,NA,NA,NA,NA
"",10278,-0.00959951988086,-0.00738173425689,0.00329586280424,0.00305019888379,0.00443458872902,562194118,"",NA,9,80,"en","","","","",FALSE,"","und",12,"None",FALSE,-1.60798560231,3,NA,NA,NA,NA
"",10279,-0.0141559022931,-0.00176738254842,-0.00215913889401,-0.0129783591234,0.0105513057342,56229270,"",NA,413,1356,"en","","","","",FALSE,"","en",610,"-18000",FALSE,0.48355161354,11,NA,NA,NA,NA
"",10280,-0.00578191376997,-0.00330370916801,0.00140367372999,0.00120426527814,0.00209253237353,562293540,"",NA,52,84,"en","","","","",FALSE,"","en",77,"-10800",FALSE,-0.649549741823,4,NA,NA,NA,NA
"",10281,0.01370064202,-0.0114690038285,-0.00728837213476,-0.0283452488993,0.0134977171586,562349265,"",NA,1000,2209,"en","","","","",FALSE,"","en",9259,"-18000",FALSE,0.552640146101,5,NA,NA,NA,NA
"",10282,-0.00170699304154,-0.00359773351034,0.00337831486009,0.00514218829335,0.00784414754922,56238377,"",NA,265,657,"en","","","","",FALSE,"","en",2845,"-18000",FALSE,-0.811830524236,8,NA,NA,NA,NA
"",10283,0.0029926599081,0.00112217897201,0.0136901110995,0.00403768344584,0.00979919068971,562408930,"",NA,203,574,"en","","","","",FALSE,"","en",200,"None",FALSE,0.449171197628,4,NA,NA,NA,NA
"",10284,-0.0131850158909,-0.00262421281704,0.00695653019218,0.000614666656788,0.0125153488131,562540443,"",NA,314,2372,"en","","","","",FALSE,"","en",402,"None",FALSE,-0.0028944586206,10,NA,NA,NA,NA
"",10285,-0.00389702178073,-0.0104673023911,-0.00138840561454,0.00567865096651,0.00534736248719,562589542,"",NA,22,119,"en","","","","",FALSE,"","en",93,"None",FALSE,-1.60798560231,3,NA,NA,NA,NA
"",10286,0.0187067634932,0.0148569787781,0.0241284986074,0.00360838895146,0.0131535528342,562880362,"",NA,509,2584,"en","","","","",FALSE,"","und",19,"None",FALSE,0.852199274806,19,NA,NA,NA,NA
"",10287,0.00266167531425,-0.00570869977062,0.00509690934746,0.00592223143409,0.00617529691614,562898690,"",NA,125,453,"en","","","","",FALSE,"","en",623,"-14400",FALSE,-1.47327372323,3,NA,NA,NA,NA
"",10288,-0.0104671116188,-0.00410470683562,-0.0024273063692,-0.0136975363364,0.00986487654089,56306840,"",NA,265,832,"en","","","","",FALSE,"","en",69,"-14400",FALSE,-0.481353159145,5,NA,NA,NA,NA
"",10289,0.0128456362317,0.0240386964757,0.0253356983422,0.00540078740316,0.0136000686796,563307602,"",NA,333,1115,"en","","","","",FALSE,"","en",2604,"None",FALSE,-1.15629509954,4,NA,NA,NA,NA
"",10290,-0.002725883257,-0.00514495521851,-0.00077929191312,0.00424748143942,0.00641552222007,563319524,"",NA,28,165,"en","","","","",FALSE,"","es",1527,"None",FALSE,-1.57596157886,4,NA,NA,NA,NA
"",10291,0.00137258912737,0.00182934669844,0.0108947581777,0.00375418813689,0.00661802061387,563351317,"",NA,121,386,"en","","","","",FALSE,"","en",180,"-36000",FALSE,-1.4550121547,3,NA,NA,NA,NA
"",10292,-0.00181926093146,-0.00735333872199,-0.00430602936265,0.00719232422934,0.007607331255,56337719,"",NA,315,539,"en","","","","",FALSE,"","en",5690,"-21600",FALSE,-0.767568920111,3,NA,NA,NA,NA
"",10293,-0.00931967532326,0.0035032748886,0.00293876255836,-0.00135050048367,0.005961199406,563844379,"",NA,136,267,"en","","","","",FALSE,"","en",1928,"-14400",FALSE,0.687239195033,12,NA,NA,NA,NA
"",10294,0.00357383898122,0.00126983727904,-0.00599735562626,0.00865486593486,0.012265241926,56398245,"",NA,47,575,"en","","","","",FALSE,"","en",1039,"-14400",FALSE,-1.60241267745,3,NA,NA,NA,NA
"",10295,0.010017582516,0.010604354562,0.0126452563954,0.00647770074492,0.0105044509509,564052785,"",NA,72,480,"en","","","","",FALSE,"","en",488,"-25200",FALSE,-1.56885645108,6,NA,NA,NA,NA
