ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412706, 0.542664213499, 0.0415333217907, Johnson [LA4], Republican, centrist Republican follower , 1, 25, 3, 3
412699, 0.552530174001, 0.0596361818669, Rooney [FL19], Republican, centrist Republican follower , 1, 41, 7, 7
412712, 0.559656572723, 0.16929196706, Budd, Republican, centrist Republican follower , 4, 35, 24, 29
412718, 0.42318239295, 0.191954558812, Espaillat, Democrat, centrist Democratic follower, 8, 74, 61, 114
412730, 0.355078923835, 0.253086308177, Jayapal, Democrat, rank-and-file Democrat, 3, 122, 95, 142
412728, 0.445238373544, 0.152481897376, McEachin, Democrat, centrist Democratic follower, 1, 44, 48, 48
412716, 0.435843009984, 0.0228281026482, Kihuen, Democrat, centrist Democratic follower, 3, 51, 7, 7
412704, 0.600583605029, 0.0207404522532, Marshall, Republican, centrist Republican follower , 1, 79, 2, 2
412723, 0.513866669961, 0.0568338588594, González-Colón, Republican, centrist Republican follower , 7, 19, 9, 10
412719, 0.53996425938, 0.0384073028498, Faso, Republican, centrist Republican follower , 1, 70, 5, 5
412724, 0.544402648438, 0.106430393627, Kustoff, Republican, centrist Republican follower , 1, 28, 16, 16
412710, 0.579932860374, 0.0409896529451, Mitchell, Republican, centrist Republican follower , 1, 55, 4, 4
412682, 0.482575261258, 0.04399300019, O'Halleran, Democrat, centrist Democratic follower, 4, 91, 9, 10
412731, 0.53887572354, 0.279558296852, Gallagher, Republican, centrist Republican follower , 6, 37, 67, 68
412701, 0.458090668632, 0.265750038558, Krishnamoorthi, Democrat, centrist Democrat, 3, 48, 99, 128
412722, 0.55695281622, 0.0175067913217, Smucker, Republican, centrist Republican follower , 4, 47, 3, 3
412725, 0.465678338627, 0.00106709271642, Gonzalez, Democrat, centrist Democratic follower, 0, 55, 0, 0
412686, 0.44316618133, 0.0625400040504, Carbajal, Democrat, centrist Democratic follower, 5, 72, 22, 23
412696, 0.446216391524, 0.00190783819626, Demings, Democrat, centrist Democratic follower, 1, 48, 0, 0
412729, 0.573381595837, 0.119295325115, Garrett, Republican, centrist Republican follower , 7, 59, 19, 24
412697, 0.469466975533, 0.0335472024229, Crist, Democrat, centrist Democratic follower, 5, 44, 12, 12
412691, 0.547844993677, 0.109944839661, Dunn, Republican, centrist Republican follower , 4, 37, 15, 16
412703, 0.530798962293, 0.0048251772247, Hollingsworth, Republican, centrist Republican follower , 1, 27, 0, 0
412727, 0.513719548393, 0.133981320768, Taylor, Republican, centrist Republican follower , 4, 33, 26, 27
412690, 0.563339627455, 0.128168980945, Gaetz, Republican, centrist Republican follower , 4, 65, 27, 28
412720, 0.524776905874, 0.0421845751742, Tenney, Republican, centrist Republican follower , 1, 57, 10, 10
412726, 0.596784364573, 0.00143254586355, Arrington, Republican, centrist Republican follower , 1, 56, 0, 0
412692, 0.523305326243, 0.0235308135715, Rutherford, Republican, centrist Republican follower , 3, 28, 3, 3
412735, 0.496685069916, 0.0187133247806, Estes, Republican, centrist Republican follower , 0, 1, 0, 0
