"V1","d0","d1","d2","d3","d4","ideology"
0,-0.00586046199503,0.00529633649793,-0.00614740675536,0.0104760734204,0.0181606058636,NA
1,0.0251951706366,0.0246202640095,0.039428386669,0.00758814117301,0.0224505943371,NA
2,0.000203377605139,-0.0106409833504,-0.0150725765619,0.0124344910556,0.0155467734456,NA
3,0.00321784468366,0.00399512364048,-0.00435435251754,0.000261886963026,0.00239093967752,-0.130343650239
4,0.0578454592649,-0.030882611374,-0.00554687497573,-0.0369663713258,0.0130247920771,NA
5,-0.004151362619,0.00370324674518,0.00719540033284,-0.0188437045851,0.0228894928987,NA
6,0.0568246937935,-0.0320193833695,-0.0049149229372,-0.0404592317002,0.0145501353373,NA
7,-0.0302758415849,-0.00959681011059,-0.0113117195022,-0.0657061571279,0.0341132849897,NA
8,0.00946169576923,-0.0180049768472,-0.00928510458686,0.013375585863,0.0135784245573,NA
9,0.0102809117586,-0.00344529716975,0.0114395382031,0.00834781589844,0.0114358667675,NA
10,0.0142227844615,0.0231361359148,0.0280501580191,0.00342531057022,0.0143212541752,NA
11,-0.000818185936905,0.00861409893664,-0.015655250395,0.0143634040891,0.021778684781,NA
12,0.0601878939329,-0.0315050583365,-0.00573171687043,-0.0344453354576,0.0127790833309,NA
13,-0.0105654095943,-0.00536626820883,0.0296323700158,-0.00662255454244,0.0330341997499,NA
14,-0.010324341347,0.00248433807181,0.00681693282342,0.00628500262107,0.0197362334448,NA
15,-0.00520019827569,0.00442850266313,-0.00479887346641,-0.0213283610055,0.0135875655518,NA
16,-0.00524014170247,0.0102502020836,-0.00520074902592,-0.00111984580511,0.0138002558045,NA
17,0.00878692279464,0.0041891184679,0.0019854389422,0.0113080999692,0.015995094218,NA
18,0.0241293618443,-0.0148096243695,0.00449626330112,-0.00899369029984,0.015355664692,NA
19,0.00917983178372,-0.00222775200268,-0.0088380002935,0.00724816882232,0.00865885543148,-1.59918657256
20,0.0274284628509,0.0167898797688,0.0192545876303,0.0106026472723,0.0140432023365,NA
21,0.00528153809656,-0.00074449405692,-0.00728238610072,0.00356944770398,0.00575852000849,-0.848166303072
22,0.00432219652375,0.00498989559923,-0.00491705306585,-0.00237687865074,0.00326574928034,1.33781936024
23,0.00310696705251,0.00392327334488,-0.00506669914637,-0.00204892672102,0.00281765093168,1.65469450703
24,0.0223173724704,-0.0187816546897,0.0227264250932,0.0187346952016,0.0232367852539,NA
25,0.0056270153397,0.00437668691007,-0.00663387467082,0.00234811699853,0.00475210388377,-1.18235568066
26,0.0043015363192,-0.00986514140407,-0.031850779262,0.0169612407003,0.026777636793,NA
27,0.0046786486788,0.00339494222249,-0.00588314339696,-0.00361958296378,0.00386302315927,1.12719029983
28,-0.017070897581,0.0283786094588,0.0199771245744,-0.00821289077522,0.0167276998003,NA
29,0.00221200847772,-0.00856557155824,0.00592420867798,-0.00368131141352,0.0111100180538,NA
30,0.00250172332719,0.00328510968834,-0.00440773533341,0.000376804511572,0.00187751848951,-0.712953876873
31,0.00536023079467,0.00385293892942,-0.00507168028149,0.00127751850495,0.00415663390117,-1.3792712729
32,0.0069878305441,-0.00705613664403,-0.00946218075483,0.0120373501281,0.0133476768415,-0.873174396621
33,0.00440237004768,0.00506786614517,-0.00691681100921,-0.00174370620304,0.00311891344005,1.39934581578
34,0.00423920327351,0.00422269359694,-0.00708865758572,-0.00338424825799,0.0038058703854,1.02449680048
35,0.00327732042225,0.00355076221362,-0.00391728228135,-0.00288529681147,0.00289434936136,0.878958499973
36,-0.00184619414613,0.000715797219745,-0.00393651619919,-0.00363255660499,0.00487269395091,0.789792697697
37,0.00801414296834,-0.00267027780219,-0.0134854810492,0.00882317380559,0.0113299415195,-0.715908757362
38,-0.00135730171502,-0.00436488923812,-0.00463421719705,0.0034375520856,0.006076197186,-0.7821026742
39,0.0025305257889,0.00225314148305,-0.00802843586851,-0.00960193236746,0.00818031780619,1.04898951415
40,0.00302457769208,0.00317280540876,-0.00397279306922,0.000640149989399,0.00263750017917,-0.613313591267
41,-0.000680130596894,0.0390864070945,0.0289165884228,0.00317578798679,0.0201963166791,NA
42,-0.00321447709086,0.00195081455386,-0.00138505694101,-0.00523037036783,0.00608877540922,1.14542160842
43,0.00441401195668,0.00393654136276,-0.00460343897033,-0.00190305969522,0.00325726945767,1.04305416462
44,0.00420278110435,0.00318055037149,-0.00524872694884,0.0017897922011,0.0037322512384,-0.871561118026
